Blog	here	china	want	how	re	service	tech	than	best	country	much	things	has	support	devices	time	data	so	internet	million	one	open	future	take	uk	technology	world	an	at	tv	social	more	company	its	startup	last	be	by	into	up	us	next	customer	this	high	could	system	should	ve	off	web	government	does	work	after	office	them	they	network	another	do	we	security	way	was	computing	power	market	ibm	can	tablets	still	not	now	year	online	price	only	desktop	using	t	business	your	sales	storage	you	help	ceo	ces	android	launch	mobile	linux	some	e	facebook	cloud	software	nokia	keep	privacy	need	based	years	i	well	pc	he	samsung	companies	even	new	features	m	against	three	if	make	just	deal	down	digital	smartphone	may	first	long	get	many	public	two	most	services	businesses	source	big	google	back	ipad	have	ios	latest	like	about	but	phone	my	end	over	free	top	enterprise	report	news	been	no	when	iphone	platform	good	week	or	there	all	what	store	windows	his	tablet	customers	users	microsoft	apple	app	use	from	six	out	g	their	which	why	will	apps	percent	other
ZDNet | sap RSS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZDNet | Norse Code RSS	0	0	0	1	0	1	1	0	0	3	0	2	4	0	1	1	7	1	3	0	3	0	0	0	0	1	2	1	2	3	1	0	3	5	2	2	3	3	1	3	3	1	0	1	1	4	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	3	0	2	0	0	1	1	2	2	0	0	0	0	2	1	2	0	0	3	0	0	0	0	1	3	0	3	0	1	0	1	3	0	1	0	0	0	0	0	0	0	0	1	0	6	0	2	1	0	0	4	1	0	2	0	1	0	1	0	0	0	0	0	2	2	0	0	1	1	1	0	2	0	2	0	0	5	1	0	0	2	2	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	1	2	0	1	2	0	0	0	0	1	0	0	2	0	0
Latest stories for ZDNet related to AU	0	0	0	0	0	2	0	1	0	0	0	1	8	1	1	1	3	1	4	0	0	0	0	1	1	0	1	4	1	3	0	1	7	7	0	1	5	2	1	2	0	1	1	0	1	1	1	0	0	0	0	2	1	0	2	1	0	0	1	0	0	1	0	1	1	0	0	0	2	0	0	0	5	1	2	1	0	0	0	2	0	3	0	1	0	0	2	2	1	1	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	8	0	0	0	0	0	1	0	0	1	1	3	0	1	1	0	0	0	0	0	1	1	0	1	4	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	1	2	2	2	2	4	0	1	0	2	1	0	7	0	2	0
ZDNet | Identity Matters RSS	0	0	0	1	0	1	0	1	1	0	0	1	4	0	0	2	1	0	1	1	0	1	0	1	0	0	0	2	1	0	1	2	1	1	0	0	0	0	1	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	3	1	0	0	0	3	0	1	0	0	0	0	2	0	2	1	0	1	2	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	2	0	0	1	1	0	0	0	0	0	2	1	0	0	2	1	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	3	0	0	0	0	3	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	6	0	1	1	1	1	0	0	0	1	0	1	3	1	2	1
ZDNet | IT Iberia RSS	0	0	0	1	0	1	5	0	0	0	0	0	5	0	0	0	2	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	4	10	4	0	6	1	2	4	0	2	0	0	1	3	0	0	0	1	0	0	1	0	4	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	3	0	1	0	2	1	0	0	4	1	1	0	1	0	0	0	0	0	0	0	3	0	0	0	8	0	0	2	0	1	0	0	0	2	0	0	1	0	1	2	0	3	0	0	0	0	1	0	1	0	0	0	0	2	2	0	0	1	0	1	2	0	0	3	1	1	3	0	0	0	4	0	0	0
Latest stories for ZDNet related to AS	0	8	0	0	0	4	1	3	0	8	0	2	4	0	3	2	6	0	6	2	1	3	1	0	0	0	1	4	3	0	1	4	2	7	0	0	2	2	0	1	2	0	0	3	0	0	2	1	0	2	1	4	0	0	1	0	0	0	0	1	0	0	4	2	0	0	3	3	1	0	0	0	1	1	4	2	0	0	0	0	1	2	0	0	0	0	0	1	1	0	2	1	0	1	4	0	5	1	0	0	1	1	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	1	0	1	0	2	0	1	2	0	2	2	0	0	1	0	2	1	1	0	0	5	0	0	0	1	1	0	0	0	2	0	0	0	2	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	3	0	2	0	0	3	0	2	0	0	3	0	6	0	1	0
ZDNet | By The Way RSS	0	10	0	0	0	4	0	2	0	7	0	2	2	0	5	1	5	0	6	1	0	0	0	0	0	0	1	2	3	0	2	3	6	7	0	0	5	3	0	2	2	0	0	3	0	0	2	0	0	1	1	5	0	0	1	0	0	0	0	1	0	0	6	1	0	0	3	6	1	0	0	0	3	0	4	3	0	1	0	0	1	2	0	0	0	0	0	0	1	0	2	2	0	0	3	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	4	0	3	0	1	0	0	1	0	1	0	5	1	1	1	0	0	2	1	0	1	1	0	1	1	0	0	6	0	0	0	1	4	0	0	0	3	0	0	0	1	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	2	0	0	3	0	9	1	1	0
Latest stories for ZDNet related to UK	2	0	2	6	0	0	3	3	0	0	2	3	3	0	1	2	3	1	3	2	1	0	2	0	2	1	1	2	0	0	0	5	2	4	0	0	3	1	1	0	2	2	0	4	1	2	0	0	0	0	3	0	1	1	0	0	0	2	1	0	0	1	1	0	1	0	0	0	0	1	1	2	2	1	3	0	0	1	1	1	1	0	0	1	4	3	0	0	1	0	1	2	4	0	0	0	0	2	0	0	0	2	1	3	7	1	1	0	2	0	1	12	3	1	2	0	0	0	1	0	2	0	0	0	2	1	1	1	0	2	2	4	0	0	0	0	0	0	3	0	0	0	2	5	3	3	1	0	0	2	0	0	0	1	0	1	0	2	1	0	1	1	0	3	1	2	0	0	0	0	0	3	3	0	3	0	2	0	0	1	2	7	1	0	0
ZDNet | Tech Broiler RSS	5	0	0	1	1	0	2	1	1	0	0	2	6	1	1	0	0	3	0	0	0	0	1	0	0	3	0	2	1	0	0	3	0	2	0	1	6	1	1	1	0	1	0	1	1	0	0	1	0	2	0	0	0	0	2	0	0	2	0	2	2	1	0	0	0	0	0	1	1	3	0	4	0	0	3	0	0	2	0	0	2	4	1	1	2	3	1	0	1	2	0	3	0	2	1	0	5	0	0	0	0	0	0	1	5	1	0	1	0	0	0	4	0	3	0	0	2	2	0	1	1	0	1	0	0	0	0	1	1	1	3	0	0	0	1	2	0	7	2	1	3	0	1	3	0	4	1	0	0	0	4	0	0	0	3	1	2	1	0	0	4	1	2	0	0	0	0	4	0	0	0	5	0	0	3	2	2	0	4	2	5	2	1	0	1
ZDNet | The Apple Core RSS	6	0	0	4	0	0	0	0	0	0	0	0	1	4	1	4	1	0	0	1	3	0	0	0	0	0	0	3	3	0	0	1	1	3	0	0	3	0	2	1	0	0	0	2	0	2	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	2	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0	1	3	10	1	0	6	1	0	0	0	1	4	0	2	0	0	0	1	0	2	0	3	0	0	1	0	0	1	0	0	1	5	1	0	0	1	0	0	1	0	0	0	0	2	6	0	3	0	0	0	3	1	0	0	1	3	2	4	4	15	1	1	1	2	0	2	0	1	1	1	0	0	0	0	0	0	11	0	1	1	3	0	0	6	1	0	2	0	0	0	2	18	6	2	2	0	2	0	0	0	2	1	3	0	0
Latest stories for ZDNet related to US	0	0	0	5	0	0	0	0	1	1	0	0	2	1	1	1	3	1	2	1	3	0	2	1	0	2	1	3	3	0	0	5	0	4	0	2	4	6	1	4	0	0	0	0	1	0	1	0	0	3	0	0	0	1	0	1	0	0	3	0	2	1	2	2	2	1	0	1	0	2	0	0	0	0	4	0	1	1	0	0	1	0	2	0	3	0	0	2	2	0	0	1	1	0	0	2	5	2	0	1	0	0	0	0	1	2	2	0	3	0	0	8	0	1	0	3	2	0	1	0	1	1	0	3	1	0	1	0	1	0	2	1	0	0	3	2	0	0	1	0	1	2	3	1	1	0	0	0	0	1	1	0	2	1	2	1	0	1	1	1	0	3	1	0	0	3	0	1	0	1	7	4	1	0	1	0	1	0	1	2	2	3	0	2	0
ZDNet | Social CRM: The Conversation RSS	4	0	1	8	1	0	2	0	0	0	0	0	2	0	0	2	5	5	0	1	0	0	1	2	0	2	1	2	5	0	1	2	0	0	0	2	1	0	2	0	1	1	16	6	1	0	0	2	1	1	0	0	0	0	0	0	2	13	0	0	5	8	0	1	0	0	1	3	2	5	0	1	4	1	3	0	0	1	0	0	3	1	4	0	0	4	1	1	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	1	9	0	0	1	0	7	1	1	0	1	0	5	0	0	3	0	0	2	0	0	0	1	1	1	0	0	0	0	2	0	3	0	0	0	4	0	1	1	5	5	0	0	1	0	0	0	0	0	0	1	2	0	0	1	3	1	2	3	11	8	0	0	1	0	5	1	0	0	0	0	1	0	4	0	2	1	3	0	0	0	0
ZDNet | Home Theater RSS	0	0	1	0	0	7	0	1	3	0	2	0	3	1	1	0	0	4	6	0	0	0	0	0	0	1	2	2	1	17	1	2	1	5	0	0	6	0	2	2	0	5	0	2	1	6	3	1	0	0	0	0	1	1	1	0	0	4	0	0	0	0	0	2	0	0	1	0	1	7	0	1	1	0	1	3	1	0	0	0	5	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	2	1	0	1	0	0	2	0	0	1	0	2	10	1	0	1	0	0	1	1	1	1	0	0	5	2	0	1	0	0	2	1	0	0	0	0	3	0	1	3	0	0	1	1	3	0	0	0	3	0	2	0	2	0	0	0	1	0	2	0	0	0	1	3	0	2	0	0	1	1	1	3	12	1	0	4	0	2	0	2	1	5	6	2	1	0
ZDNet | Tom Foremski: IMHO RSS	0	0	0	0	0	0	3	3	0	0	2	3	4	0	0	1	0	0	3	0	3	0	3	0	0	0	0	3	2	0	0	3	1	5	2	0	4	1	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	3	0	2	0	0	3	0	0	0	0	1	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	4	0	2	0	2	2	0	0	0	1	0	1	2	0	0	2	0	0	0	0	0	2	2	0	0	0	2	0	0	1	0	0	0	0	3	0	0	0	1	2	1	2	2	4	1	2	0	0	1	1	0	0	1	0	1	0	0	2	0	0	0	1	0	0	0	3	0	2	0	3	1	0	5	3	0	0
Latest topics for ZDNet in Reviews	1	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	2	2	0	0	3	0	1	0	0	0	0	11	0	0	0	1	0	1	0	1	1	3	4	0	0	0	0	6	2	0	0	1	0	0	0	0	3	0	0	2	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	3	1	2	1	1	1	5	0	0	5	0	0	0	3	0	0	0	0	2	0	2	2	1	0	0	3	2	0	1	2	1	0	0	0	1	2	0	0	0	0	2	4	2	0	0	2	0	0	2	0	1	2	0	0	2	0	0	0	0	2	0	2	1	0	1	0	0	4	0	0	2	1	0	1	1	0	0	0	0	0	6	0	4	0	0	1	1	2	0	0	0	4	0	0	1	6	2	2	1	1	0	0	0	0	0	0	0	0	1
Latest topics for ZDNet in Processors	0	2	2	0	0	0	1	1	0	0	1	1	4	0	2	1	3	0	1	2	1	0	1	1	0	0	2	4	4	0	0	1	4	9	0	2	3	1	2	1	0	3	0	4	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	3	0	2	1	0	1	3	2	0	0	1	3	2	3	0	0	1	0	0	4	4	0	0	0	1	0	2	2	0	0	6	0	0	0	0	2	0	0	0	0	1	0	2	0	1	7	0	2	1	1	5	0	0	1	1	3	0	2	1	1	0	0	1	2	0	0	1	0	1	0	0	1	0	4	0	1	0	1	0	2	0	3	7	0	1	0	3	0	1	0	0	1	1	0	1	0	0	1	4	2	1	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	1	0	2	1
ZDNet | All About Microsoft RSS	2	0	1	0	0	6	0	2	0	0	0	0	4	2	3	1	0	1	0	3	0	0	0	0	0	0	0	2	1	0	0	7	1	17	0	0	0	1	0	1	0	3	2	0	0	0	0	0	0	1	1	0	0	0	0	4	0	2	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	1	0	1	0	1	0	0	0	0	4	0	3	1	0	0	4	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	5	0	1	0	0	0	0	0	0	1	3	2	1	0	3	2	3	0	0	0	0	0	0	0	0	1	4	1	0	3	0	0	2	2	1	2	0	18	0	0	0	4	38	0	2	0	3	0	5	0	1	2	1	2	2	1	0
ZDNet | Technolatte RSS	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	1	3	1	1	0	1	0	0	0	0	0	0	0	11	0	2	0	0	1	0	0	0	0	0	1	1	0	0	20	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	2	2	0	0	1	0	2	1	0	0	3	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	1	1	0	0	0	2	4	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	1	23	0	0	0	1	0	1	1	0	0	0	0	3	0	0	1	0	0	3	2	0	0	0	0	0	0
ZDNet | Service Oriented RSS	0	0	0	1	1	3	0	1	0	0	0	0	3	0	0	3	1	0	1	0	1	2	0	1	0	3	0	4	3	0	0	2	0	1	0	0	7	2	0	1	0	1	0	5	0	0	1	5	0	1	1	0	1	1	0	0	0	2	0	0	1	2	2	1	0	2	0	1	1	1	0	0	1	3	2	0	0	1	0	0	1	6	5	1	0	0	1	0	0	0	0	1	0	0	0	0	13	3	0	3	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	1	3	0	0	1	0	4	0	1	1	0	0	0	1	3	0	1	0	0	1	0	1	0	0	0	2	4	0	0	0	1	0	0	6	0	1	3	1	2	0	2	1	0	1	4	5	3	1	0	0	0	2	0	2	0	0	0	5	1	3	0	1	0	2	6	1	0	0
ZDNet | Back office RSS	1	0	1	5	2	0	0	3	1	0	1	1	5	0	0	2	1	5	0	0	2	0	0	1	0	3	0	3	1	0	0	5	1	2	0	1	3	3	2	7	0	2	0	2	0	1	0	1	4	1	1	0	2	0	0	0	0	0	2	1	0	2	3	0	3	4	0	2	1	3	0	2	4	2	0	0	0	0	0	0	1	0	4	0	5	5	1	0	0	0	0	1	0	3	0	0	18	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	3	0	1	1	3	1	2	0	1	0	0	1	0	2	3	3	0	1	0	2	1	0	1	2	0	0	4	0	0	3	3	8	0	0	2	2	0	1	4	1	0	4	0	1	0	0	0	0	3	2	2	4	0	0	2	0	1	0	1	2	0	0	2	0	3	0	2	1	1	4	0	0	2
ZDNet | Securify This! RSS	0	0	3	4	5	0	1	1	0	0	1	0	2	0	0	3	0	1	0	0	6	1	0	2	3	0	0	1	2	0	0	1	1	6	2	0	6	2	3	0	3	0	0	3	0	2	4	2	2	1	0	1	3	0	0	1	3	6	0	4	6	13	11	0	1	0	0	0	0	4	0	2	7	3	0	0	0	1	0	0	12	2	3	0	0	6	0	0	0	2	0	1	0	1	0	0	0	1	1	0	1	6	0	1	1	0	0	0	1	1	3	1	0	0	0	1	5	1	3	0	1	1	0	1	1	0	0	1	0	4	0	0	0	0	0	2	1	0	5	0	1	1	5	14	2	1	0	0	0	0	0	1	0	4	1	7	0	0	2	1	1	0	1	4	1	1	0	0	0	0	2	0	0	0	2	0	4	0	0	1	5	0	0	0	2
ZDNet | Networking RSS	3	0	5	1	1	2	0	0	6	0	0	1	4	0	1	2	0	3	15	0	0	3	0	0	0	1	3	2	3	4	0	0	1	3	0	1	1	2	1	3	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	1	2	2	1	1	1	0	0	0	0	0	1	1	4	0	0	3	0	0	0	1	2	3	0	3	5	0	0	3	0	0	1	0	2	0	0	6	1	0	0	0	3	0	0	0	1	0	0	0	1	0	5	0	0	0	1	1	1	1	2	3	0	0	5	0	1	1	0	1	0	3	0	1	3	0	3	2	0	3	0	0	0	0	9	0	0	0	2	0	1	3	0	1	3	2	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0	0	0	0	0	1	2	3	0	2	0	0	2	0	0	0
ZDNet | The Ed Bott Report RSS	5	0	1	7	1	0	2	3	0	0	0	2	4	0	1	3	2	2	1	0	2	0	1	0	0	0	0	6	2	0	0	6	3	1	0	1	1	1	0	2	0	1	0	6	0	0	1	0	0	2	3	0	0	0	2	3	0	1	0	0	1	2	2	1	2	1	1	2	0	4	0	2	0	0	7	2	0	1	0	0	2	2	4	0	2	6	2	1	0	0	0	3	0	2	0	0	1	1	0	0	0	2	1	3	4	1	3	1	0	1	2	13	0	0	0	3	2	3	2	5	1	0	0	0	4	5	2	0	0	4	1	2	0	0	2	4	0	0	9	1	2	2	1	5	2	6	1	0	1	0	0	1	0	2	2	3	2	2	0	0	2	0	1	3	0	14	0	0	0	1	15	1	2	4	5	2	1	0	2	0	2	0	3	0	0
ZDNet | The ToyBox RSS	1	0	0	0	0	0	0	1	1	0	0	0	0	2	1	1	0	0	0	0	1	0	3	0	0	0	1	1	2	0	0	1	0	10	0	0	3	1	0	2	0	0	0	4	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	2	0	1	2	2	0	0	0	0	0	0	0	1	0	0	3	0	2	0	0	2	2	2	0	1	1	1	1	0	0	0	0	3	0	0	2	0	0	2	0	0	1	0	0	0	0	2	1	2	5	0	1	3	1	0	0	3	2	0	0	1	0	0	0	0	3	0	1	0	0	1	0	0	0	2	0	2	0	2	4	0	5	0	1	1	2	7	0	0	0	1	0	0	0
ZDNet | The German View RSS	0	0	0	4	0	0	1	1	0	4	0	0	5	0	1	0	2	0	0	1	0	1	0	1	0	1	0	1	3	0	0	1	1	9	4	0	3	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	0	0	0	2	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	4	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	5	0	2	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	2	0	1	0	0	1	10	0	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	1	1	2	0	0	3	0	2	1
ZDNet | Post-PC Developments RSS	0	0	1	2	3	0	0	3	0	0	2	2	3	0	1	1	0	1	2	0	2	0	0	0	0	3	1	2	1	0	0	4	1	1	0	0	6	0	1	2	3	0	0	0	0	0	0	1	1	0	0	0	2	0	0	3	0	2	0	0	4	3	0	1	2	0	0	0	0	4	0	0	5	0	1	0	0	1	0	2	4	2	3	0	0	6	0	0	0	4	0	3	0	1	0	0	1	1	0	1	1	1	0	0	6	0	0	0	0	0	0	1	0	0	0	1	2	0	3	0	0	3	0	2	0	0	2	0	0	0	2	2	0	0	1	4	1	0	3	1	0	3	3	8	2	4	0	1	0	0	1	0	0	1	3	1	0	2	1	0	2	2	1	8	0	6	0	2	0	1	9	7	2	0	1	0	4	2	1	0	1	0	6	0	1
ZDNet | Jack&#039;s Blog RSS	0	0	0	0	0	3	0	3	0	0	4	0	10	0	0	1	0	1	0	0	0	2	0	0	6	0	1	6	3	0	0	2	2	6	0	1	1	4	1	2	1	4	0	2	0	1	1	0	1	1	4	2	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	3	2	2	1	1	1	7	1	0	0	1	0	5	2	0	1	4	0	2	1	1	0	2	2	0	0	2	0	0	3	0	0	0	2	1	3	0	1	2	1	0	2	1	0	6	0	1	1	0	0	1	1	0	0	0	1	0	1	1	1	0	0	2	1	0	1	0	0	0	0	0	4	0	1	1	3	3	2	0	0	3	1	2	1	2	0	3	0	0	0	2	0	0	2	0	0	2	0	7	2	0	2	3	1	3	1	2	5	0	0	3	1	1	0	7	0	1	1
ZDNet | The open source revolution RSS	1	0	0	2	0	0	0	0	0	0	0	0	3	3	0	3	3	2	0	0	2	3	3	1	0	0	0	4	4	0	0	0	0	4	1	2	1	2	1	3	1	1	0	4	0	0	2	0	9	1	1	0	1	2	0	0	2	0	1	2	0	2	0	2	8	2	2	1	0	2	0	2	2	0	1	0	1	0	11	2	0	2	1	0	1	4	0	0	0	0	0	0	16	6	1	0	1	6	0	0	0	0	0	1	22	3	1	1	0	0	0	2	1	1	0	0	3	1	2	0	0	0	0	0	3	3	1	2	0	2	1	0	0	4	0	0	2	0	7	0	1	1	3	3	0	3	0	2	0	0	0	0	0	4	1	2	0	4	0	0	3	2	2	2	0	9	0	0	0	2	7	2	0	2	3	0	3	0	0	0	3	2	0	0	3
ZDNet | Gen Why? RSS	0	0	3	3	0	0	1	0	1	0	1	0	5	0	0	0	2	2	1	0	2	0	0	1	0	0	0	0	1	0	0	1	0	2	0	1	9	2	0	4	1	0	1	1	0	0	0	5	1	2	0	7	0	0	1	0	1	0	2	1	0	6	0	2	1	0	0	0	0	3	0	0	5	0	0	1	0	0	0	2	0	0	1	0	0	1	2	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	2	1	0	0	0	1	0	3	2	0	0	1	0	0	3	2	0	2	0	1	2	0	2	1	0	0	0	0	0	3	0	2	0	3	7	0	0	0	1	1	0	0	1	0	1	2	3	0	0	0	1	3	4	5	3	0	0	2	0	3	1	0	1	0	2	3	0	2	0	3	0	1	9	0	0	0
Latest topics for ZDNet in Android	1	3	2	3	2	0	0	2	1	0	3	0	3	1	2	1	0	1	0	0	2	0	0	0	1	2	0	3	2	1	0	4	2	7	0	1	7	0	0	2	1	1	0	2	1	0	0	1	2	1	0	0	1	1	3	5	2	0	0	0	0	0	0	0	0	0	0	1	0	2	5	0	1	0	6	0	0	0	2	1	2	1	11	0	3	8	2	0	4	13	2	3	0	0	2	0	0	2	2	2	0	0	1	0	0	1	2	0	2	1	1	8	0	0	0	2	2	2	0	0	0	0	5	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	3	1	1	2	1	4	4	0	1	0	2	0	0	1	0	0	1	4	3	0	1	0	2	0	1	0	2	1	0	4	0	2	4	5	1	1	4	1	2	2	1	1	0	4	1	2	0
ZDNet | Zero Day RSS	0	0	0	4	0	1	1	2	0	2	0	0	5	0	0	0	4	0	10	2	2	2	0	0	0	0	0	4	2	0	0	2	1	4	0	1	1	2	3	1	1	0	0	1	1	0	1	0	0	1	1	2	0	0	3	2	0	0	3	0	2	0	7	1	7	0	0	0	0	2	0	3	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	1	0	0	0	1	2	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	2	1	0	2	1	2	0	0	1	0	0	1	0	2	0	0	0	2	2	0	1	1	3	2	2	0	0	1	2	1	0	1	1	0	0	6	0	0	0	4	3	0	0	1	3	0	0	0	0	3	1	0	0	0	2
ZDNet | Social Business RSS	1	0	4	4	0	1	0	0	0	0	0	4	5	0	1	0	1	2	4	3	2	0	0	2	0	1	2	0	4	0	21	3	0	4	0	0	0	1	2	4	2	0	0	4	0	1	0	0	0	0	0	0	1	2	0	0	0	0	10	0	0	8	0	2	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	2	1	1	6	0	0	10	1	0	0	0	0	1	0	3	0	7	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	9	5	0	0	0	3	2	2	0	0	0	0	1	0	0	1	1	0	3	0	1	0	0	0	3	0	0	3	0	0	0	4	3	0	0	0	0	1	0	1	2	0	2	0	1	0	2	0	1	0	1	0	2	0	0	0	0	1	10	1	0	0	3	0	6	0	0	2	2	0	3	0	0	3
ZDNet | Smartphones and Cell Phones RSS	0	0	0	1	0	1	0	2	1	0	1	1	5	0	2	0	2	0	0	0	2	1	1	0	0	2	0	3	5	0	0	1	1	4	0	1	8	1	0	3	3	1	0	1	3	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	4	0	1	0	4	1	2	0	1	0	1	6	0	10	0	0	4	1	1	5	9	3	8	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	4	6	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	2	0	0	1	3	3	1	2	2	0	0	0	3	0	3	2	3	5	1	1	1	0	2	4	0	2	1	2	1	1	0	3	13	1	1	1	0	1	1	3	0	0	4	0	3	2
Latest news	0	1	1	0	0	2	1	1	0	1	0	1	6	0	1	1	3	1	3	2	1	0	1	0	1	0	0	1	0	0	0	4	4	9	0	0	3	0	0	3	3	0	1	0	0	4	0	0	0	1	3	0	0	1	3	0	0	0	0	0	1	1	3	1	0	0	0	0	0	0	1	1	3	1	0	0	2	0	2	0	0	2	1	0	0	0	2	0	0	1	1	1	0	0	0	0	1	2	2	0	0	0	1	0	0	1	0	0	2	0	0	5	1	1	2	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	3	0	0	2	4	0	0	4	0	1	0	1	1	1	0	0	1	0	1	1	1	1	1	0	0	4	2	0	1	0	0	0	0	2	0	0	1	0	2	4	11	6	0	0	0	2	0	0	0	0	3	0	1	0
ZDNet | Small Talk RSS	0	0	0	3	2	0	2	0	4	0	1	0	6	2	1	0	0	3	0	0	3	0	0	0	0	0	1	5	1	0	0	3	0	6	2	0	4	0	0	2	1	0	2	2	0	1	0	3	1	0	1	0	1	2	1	0	0	0	0	0	2	2	0	3	0	1	0	0	0	2	0	0	1	1	0	3	0	0	0	2	1	3	3	0	1	6	3	3	0	0	0	1	0	1	1	7	2	0	2	1	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	2	0	1	1	1	0	1	1	0	1	1	1	0	0	0	2	4	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	3	10	0	8	0	0	0	3	8	0	0	1	5	1	3	0	0	0	2	3	2	1	0
